date,pm25,pm10,o3,no2,so2,co
18-10-2021,33,28,15,3,2,2
19-10-2021,58,47,19,9,3,4
20-10-2021,74,70,52,11,6,7
21-10-2021,115,98,53,15,4,7
22-10-2021,156,105,46,18,5,5
23-10-2021,159,94,48,12,3,5
24-10-2021,159,98,39,13,4,7
25-10-2021,166,92,41,13,3,4
26-10-2021,156,75,42,9,3,4
27-10-2021,142,69,50,8,3,2
28-10-2021,124,67,42,10,3,4
29-10-2021,118,76,59,11,4,3
30-10-2021,146,90,59,15,5,5
31-10-2021,160,101,56,20,5,9
01-11-2021,169,97,60,19,5,8
02-11-2021,170,103,59,19,6,8
03-11-2021,176,103,66,13,6,6
04-11-2021,176,95,54,14,4,7
05-11-2021,144,87,63,14,4,7
06-11-2021,144,90,67,15,4,7
07-11-2021,148,91,61,15,5,10
08-11-2021,144,93,51,15,4,6
09-11-2021,148,83,48,14,3,7
10-11-2021,134,77,72,14,4,8
11-11-2021,127,71,59,11,7,5
12-11-2021,114,63,24,13,6,7
13-11-2021,97,75,33,11,12,6
14-11-2021,120,87,43,11,6,10
15-11-2021,147,88,49,16,4,9
16-11-2021,143,95,57,17,4,7
17-11-2021,149,89,61,16,5,7
18-11-2021,155,102,66,19,6,8
19-11-2021,161,114,78,17,8,8
20-11-2021,171,132,84,18,6,11
21-11-2021,180,120,75,19,8,10
22-11-2021,176,106,78,18,4,6
23-11-2021,164,108,73,21,5,9
24-11-2021,164,110,72,19,5,9
25-11-2021,166,102,79,19,5,10
26-11-2021,161,101,59,15,4,6
27-11-2021,162,94,58,14,8,7
28-11-2021,157,94,69,15,9,9
29-11-2021,156,108,69,15,4,7
30-11-2021,169,81,53,15,8,6
01-12-2021,136,87,47,20,8,8
02-12-2021,143,104,35,22,6,9
03-12-2021,164,99,20,17,4,8
04-12-2021,161,99,30,15,8,6
05-12-2021,153,63,41,14,10,9
06-12-2021,140,80,37,15,12,4
07-12-2021,125,72,53,10,20,4
08-12-2021,116,88,52,18,12,10
09-12-2021,142,112,43,20,10,7
10-12-2021,163,104,62,14,4,7
11-12-2021,162,100,70,14,5,7
12-12-2021,159,107,75,15,6,8
13-12-2021,164,118,71,16,8,8
14-12-2021,169,127,72,16,5,8
15-12-2021,179,99,55,13,4,5
16-12-2021,152,97,53,17,18,6
17-12-2021,159,108,56,14,5,9
18-12-2021,171,87,57,10,4,3
19-12-2021,140,106,77,17,7,8
20-12-2021,162,99,49,16,4,9
21-12-2021,162,103,30,15,7,7
22-12-2021,166,124,63,18,8,11
23-12-2021,179,169,46,26,12,13
24-12-2021,203,172,38,23,7,17
25-12-2021,211,133,35,21,6,11
26-12-2021,190,109,36,15,17,9
27-12-2021,168,119,33,14,13,5
28-12-2021,170,99,21,12,22,8
29-12-2021,161,75,29,13,6,6
30-12-2021,135,95,22,14,8,9
31-12-2021,165,80,31,11,5,6
01-01-2022,155,57,32,7,3,5
02-01-2022,109,59,40,9,3,7
01-07-2021,80,45,28,8,4,6
02-07-2021,90,51,15,8,2,4
03-07-2021,92,52,20,8,2,4
04-07-2021,61,51,14,7,2,4
05-07-2021,61,61,21,9,3,6
06-07-2021,81,58,16,7,2,5
07-07-2021,96,58,25,8,18,7
08-07-2021,95,60,14,9,2,4
09-07-2021,85,64,16,7,2,4
10-07-2021,89,40,12,6,16,3
11-07-2021,80,41,31,6,4,5
12-07-2021,74,43,12,6,2,4
13-07-2021,64,32,29,8,3,4
14-07-2021,58,27,12,6,2,3
15-07-2021,49,29,23,7,2,4
16-07-2021,61,30,14,7,2,4
17-07-2021,57,38,14,7,2,4
18-07-2021,75,50,14,8,2,6
19-07-2021,99,47,12,7,2,5
20-07-2021,94,56,9,7,2,5
21-07-2021,119, , , , , 
29-07-2021,46,24,155, ,2, 
30-07-2021,51,26,13,3,8,2
31-07-2021,53,40,18,6,7,4
01-08-2021,66,50,32,7,9,6
02-08-2021,91,49,17,6,9,3
03-08-2021,99,39,12,6,2,5
04-08-2021,81,50,14,7,2,5
05-08-2021,95,61,25,10,2,10
06-08-2021,127,47,18,6,13,4
07-08-2021,98,27,14,5,2,4
08-08-2021,64,47,30,6,3,5
09-08-2021,97,46,17,6,2,4
10-08-2021,94,52,18,6,2,4
11-08-2021,97,43,18,6,8,3
12-08-2021,82,58,15,7,2,6
13-08-2021,112,55,26,6,2,3
14-08-2021,115,55,19,6,18,3
15-08-2021,106,60,27,7,7,5
16-08-2021,119,43,13,6,2,4
17-08-2021,78,32,11,5,2,3
18-08-2021,66,25,21,3,24,2
19-08-2021,63,26,31,3,2,2
20-08-2021,55,21,25,3,4,4
21-08-2021,49,31,22,5,2,4
22-08-2021,57,41,23,7,2,6
23-08-2021,83,47,16,9,2,5
24-08-2021,88,53,22,6,2,5
25-08-2021,102,59,15,6,12,5
26-08-2021,112,51,40,6,4,5
27-08-2021,95,33,15,5,2,4
28-08-2021,59,34,13,6,2,4
29-08-2021,65,42,20,6,3,4
30-08-2021,75,33,19,7,1,3
31-08-2021,59,20,18,4,2,3
01-09-2021,56,44,19,9,2,6
02-09-2021,107,55,42,9,4,6
03-09-2021,270,55,19,8,2,7
